Name,Category,Price,Description
Hot Charcoal Mocha,Coffee,33000,Minuman Coffee dengan paduan Charcoal dan Mocha yang hot.
Creamy Charcoal Macchiato,Coffee,79000,Minuman Coffee dengan paduan Charcoal dan Macchiato yang creamy.
Creamy Pandan Milk Tea,Signature,78000,Minuman Signature dengan paduan Pandan dan Milk Tea yang creamy.
Iced Caramel Mocha,Coffee,99000,Minuman Coffee dengan paduan Caramel dan Mocha yang iced.
Creamy Pandan Milk Tea,Signature,73000,Minuman Signature dengan paduan Pandan dan Milk Tea yang creamy.
Hot Charcoal Latte,Coffee,73000,Minuman Coffee dengan paduan Charcoal dan Latte yang hot.
Iced Taro Americano,Coffee,110000,Minuman Coffee dengan paduan Taro dan Americano yang iced.
Hot Vanilla Latte,Coffee,49000,Minuman Coffee dengan paduan Vanilla dan Latte yang hot.
Iced Caramel Mocha,Coffee,64000,Minuman Coffee dengan paduan Caramel dan Mocha yang iced.
Hot Salted Caramel Red Velvet,Non-Coffee,35000,Minuman Non-Coffee dengan paduan Salted Caramel dan Red Velvet yang hot.
Hot Butterscotch Milk Tea,Coffee,110000,Minuman Coffee dengan paduan Butterscotch dan Milk Tea yang hot.
Creamy Butterscotch Macchiato,Coffee,67000,Minuman Coffee dengan paduan Butterscotch dan Macchiato yang creamy.
Iced Charcoal Macchiato,Coffee,58000,Minuman Coffee dengan paduan Charcoal dan Macchiato yang iced.
Creamy Caramel Red Velvet,Non-Coffee,119000,Minuman Non-Coffee dengan paduan Caramel dan Red Velvet yang creamy.
Iced Salted Caramel Milk Tea,Coffee,72000,Minuman Coffee dengan paduan Salted Caramel dan Milk Tea yang iced.
Creamy Vanilla Macchiato,Coffee,116000,Minuman Coffee dengan paduan Vanilla dan Macchiato yang creamy.
Hot Salted Caramel Red Velvet,Non-Coffee,65000,Minuman Non-Coffee dengan paduan Salted Caramel dan Red Velvet yang hot.
Iced Pandan Red Velvet,Signature,92000,Minuman Signature dengan paduan Pandan dan Red Velvet yang iced.
Creamy Gula Aren Mocha,Signature,97000,Minuman Signature dengan paduan Gula Aren dan Mocha yang creamy.
Creamy Pandan Red Velvet,Signature,77000,Minuman Signature dengan paduan Pandan dan Red Velvet yang creamy.
Creamy Salted Caramel Americano,Coffee,61000,Minuman Coffee dengan paduan Salted Caramel dan Americano yang creamy.
Hot Butterscotch Macchiato,Coffee,85000,Minuman Coffee dengan paduan Butterscotch dan Macchiato yang hot.
Iced Hazelnut Mocha,Coffee,107000,Minuman Coffee dengan paduan Hazelnut dan Mocha yang iced.
Iced Gula Aren Chocolate,Signature,62000,Minuman Signature dengan paduan Gula Aren dan Chocolate yang iced.
Hot Double Shot Red Velvet,Non-Coffee,85000,Minuman Non-Coffee dengan paduan Double Shot dan Red Velvet yang hot.
Creamy Hazelnut Macchiato,Coffee,43000,Minuman Coffee dengan paduan Hazelnut dan Macchiato yang creamy.
Iced Taro Red Velvet,Non-Coffee,116000,Minuman Non-Coffee dengan paduan Taro dan Red Velvet yang iced.
Iced Salted Caramel Cappuccino,Coffee,110000,Minuman Coffee dengan paduan Salted Caramel dan Cappuccino yang iced.
Iced Salted Caramel Red Velvet,Non-Coffee,112000,Minuman Non-Coffee dengan paduan Salted Caramel dan Red Velvet yang iced.
Creamy Gula Aren Espresso,Signature,52000,Minuman Signature dengan paduan Gula Aren dan Espresso yang creamy.
Iced Double Shot Mocha,Coffee,62000,Minuman Coffee dengan paduan Double Shot dan Mocha yang iced.
Creamy Salted Caramel Espresso,Coffee,48000,Minuman Coffee dengan paduan Salted Caramel dan Espresso yang creamy.
Iced Taro Latte,Coffee,54000,Minuman Coffee dengan paduan Taro dan Latte yang iced.
Iced Butterscotch Cappuccino,Coffee,47000,Minuman Coffee dengan paduan Butterscotch dan Cappuccino yang iced.
Hot Charcoal Americano,Coffee,56000,Minuman Coffee dengan paduan Charcoal dan Americano yang hot.
Hot Salted Caramel Milk Tea,Coffee,119000,Minuman Coffee dengan paduan Salted Caramel dan Milk Tea yang hot.
Iced Salted Caramel Cappuccino,Coffee,98000,Minuman Coffee dengan paduan Salted Caramel dan Cappuccino yang iced.
Iced Butterscotch Americano,Coffee,111000,Minuman Coffee dengan paduan Butterscotch dan Americano yang iced.
Creamy Charcoal Cappuccino,Coffee,47000,Minuman Coffee dengan paduan Charcoal dan Cappuccino yang creamy.
Hot Butterscotch Espresso,Coffee,102000,Minuman Coffee dengan paduan Butterscotch dan Espresso yang hot.
Creamy Gula Aren Milk Tea,Signature,101000,Minuman Signature dengan paduan Gula Aren dan Milk Tea yang creamy.
Hot Salted Caramel Americano,Coffee,105000,Minuman Coffee dengan paduan Salted Caramel dan Americano yang hot.
Creamy Gula Aren Mocha,Signature,80000,Minuman Signature dengan paduan Gula Aren dan Mocha yang creamy.
Hot Taro Cappuccino,Coffee,74000,Minuman Coffee dengan paduan Taro dan Cappuccino yang hot.
Iced Hazelnut Red Velvet,Non-Coffee,70000,Minuman Non-Coffee dengan paduan Hazelnut dan Red Velvet yang iced.
Hot Caramel Cappuccino,Coffee,77000,Minuman Coffee dengan paduan Caramel dan Cappuccino yang hot.
Hot Pandan Matcha,Signature,116000,Minuman Signature dengan paduan Pandan dan Matcha yang hot.
Hot Hazelnut Red Velvet,Non-Coffee,41000,Minuman Non-Coffee dengan paduan Hazelnut dan Red Velvet yang hot.
Creamy Charcoal Cappuccino,Coffee,81000,Minuman Coffee dengan paduan Charcoal dan Cappuccino yang creamy.
Hot Double Shot Mocha,Coffee,86000,Minuman Coffee dengan paduan Double Shot dan Mocha yang hot.
Hot Caramel Espresso,Coffee,72000,Minuman Coffee dengan paduan Caramel dan Espresso yang hot.
Creamy Hazelnut Macchiato,Coffee,78000,Minuman Coffee dengan paduan Hazelnut dan Macchiato yang creamy.
Iced Taro Milk Tea,Coffee,50000,Minuman Coffee dengan paduan Taro dan Milk Tea yang iced.
Creamy Pandan Macchiato,Signature,47000,Minuman Signature dengan paduan Pandan dan Macchiato yang creamy.
Iced Double Shot Chocolate,Non-Coffee,100000,Minuman Non-Coffee dengan paduan Double Shot dan Chocolate yang iced.
Hot Gula Aren Espresso,Signature,117000,Minuman Signature dengan paduan Gula Aren dan Espresso yang hot.
Creamy Double Shot Milk Tea,Coffee,102000,Minuman Coffee dengan paduan Double Shot dan Milk Tea yang creamy.
Iced Pandan Cappuccino,Signature,114000,Minuman Signature dengan paduan Pandan dan Cappuccino yang iced.
Iced Salted Caramel Chocolate,Non-Coffee,38000,Minuman Non-Coffee dengan paduan Salted Caramel dan Chocolate yang iced.
Iced Pandan Mocha,Signature,43000,Minuman Signature dengan paduan Pandan dan Mocha yang iced.
Hot Pandan Milk Tea,Signature,68000,Minuman Signature dengan paduan Pandan dan Milk Tea yang hot.
Iced Caramel Espresso,Coffee,68000,Minuman Coffee dengan paduan Caramel dan Espresso yang iced.
Creamy Salted Caramel Espresso,Coffee,97000,Minuman Coffee dengan paduan Salted Caramel dan Espresso yang creamy.
Creamy Double Shot Espresso,Coffee,38000,Minuman Coffee dengan paduan Double Shot dan Espresso yang creamy.
Creamy Vanilla Mocha,Coffee,30000,Minuman Coffee dengan paduan Vanilla dan Mocha yang creamy.
